,ngram,annotated hyponyms
160,flower,n12044467 n12060546 n12297280 n11887476 n12080820 n12083847 n12877244 n11725480 n12053962 n11947802 n12914923 n12361946 n12067193 n12080588 n11794024 n12026018 n12073554 n12296929 n11892181 n11932927 n12891824 n12909614 n12077244 n12683571 n12052787 n12053690 n12362668 n11935469 n12076223 n11725821 n11725973 n12066451 n11937278 n11990627 n11920498 n11811921 n12291671 n12290975 n11859472 n12086539 n11923174 n11902200 n11888800 n12062781 n12074408 n12063639 n12061104 n11937360 n11808299 n12008749 n11936624 n11721337 n11857696 n11900569 n12085267 n12001924 n11936782 n12071477 n12043673 n12909421 n11887310 n11883628 n12909917 n11978551 n11992806 n11925303 n11971783 n12084158 n12683791 n12057660 n11935794 n11989869 n11933546 n12294124 n11793779 n11901977 n11925450 n12067672 n11806814 n11809437 n12076852 n11888424 n11932745 n11936707 n12056990 n11815491 n11943992 n12833985 n11840476 n12015221 n11839823 n11979354 n12051792 n11987511 n12360108 n11933387 n11907405 n11806369 n12086012 n11990313 n11934616 n11906127 n12031139 n11933257 n12085664 n12075010 n11935877 n12067433 n12078451 n11892029 n12046815 n11933903 n12008252 n11962272 n11979187 n12093329 n12951146 n11733054 n11725623 n12065316 n11736851 n12031547 n11979715 n11736694 n11955896 n12879527 n12443736 n12030092 n12058192 n12290748 n12026476 n12052447 n12065649 n12837259 n11971406 n12064591 n11960245 n12890928 n12073991 n11672269 n11812094 n11818636 n12362274 n12830222 n11808468 n12070712 n11727540 n12045157 n12834190 n12048928 n12072210 n12891305 n11915214 n11809094 n12075299 n12890265 n12057895 n11902389 n11733312 n12069009 n11939699 n11809271 n11971927 n11810358 n12083113 n11727358 n11961446 n12883628 n11972959 n11726707 n11813077 n11889619 n11805956 n11812910 n12020184 n12083591 n12062105 n11669921 n12041446 n12020736 n12063211 n12013701 n12877493 n12297110 n11918473 n11727091 n11921395 n12069217 n11792341 n12054195 n11839568 n11999656 n12023407 n11840246 n11908846 n12033504 n11937195 n11732567 n11979527 n12066261 n11946727 n12049282 n11883328 n11933728 n11933099 n11887119 n12831141 n11935715 n11892637 n11726269 n12034384 n12295033 n11918286 n11737009 n11859275 n11907100 n12836862 n11970101 n11806679 n11961100 n12056601 n11936864 n11815721 n12799776 n11978713 n11726433 n11905392 n12061380 n12043836 n12080395 n12061614 n12837466 n12683407 n12833149 n12075830 n12295429 n12291459 n12050533 n12008487 n12044784 n12890490 n12079120 n12058822 n11969607 n11936287 n11936027 n12013511 n12069679 n12068138 n11811473 n12066018 n12044041 n12252383 n11988596 n12360534 n11815918 n11896141 n11821184 n12082131 n11934463 n11906514 n12081649 n12051514 n12837052 n11936199 n12023726 n12046428 n12035907 n12891643 n11794139 n11935953 n12064389 n12056099 n11891175 n11840067 n11950686 n12047345 n11816121 n11915899 n12009047 n12052267 n11892817 n11859737 n12294723 n12294331 n11836327 n11901597 n12045514 n11937446 n12070583 n12071744 n11903671 n12031388 n11936448 n12360817 n12068432 n12066630 n11978961 n12362514 n12058630 n11946918 n11935187 n12297507 n12078747 n12046028 n11737125 n12007766 n12030908 n11923397 n12480456 n11937023 n11906917 n12057211 n12884100 n12877637 n11935330 n12475035 n11920663 n11969806 n12030654 n12001707 n11950345 n11806521 n12056758 n12892013 n11725311 n11808721 n11816829 n12295237 n12444095 n12086778 n11901294 n12296045 n11887750 n11918808 n11948469 n12076577 n11972759 n12020507 n12084890 n12079963 n12059314 n11958080 n12020941 n12065777 n12081215 n12055516 n11992479 n12361135 n12884260 n12034141 n11808932 n11936946 n11936369 n12084400 n12072722 n12418507 n12361560 n11950877 n12070381 n12360958 n12074867 n12294871 n12022054 n11820965 n11826198 n12950314 n11839460 n11857875 n11978233 n11951052 n12062626 n12071259 n11934041 n12033709 n12034594 n11719286 n12293723 n11936539 n11814584 n11725015 n11935627 n12053405 n12077944 n11970298 n12079523 n11971248 n12291143 n12055073 n11901452 n12067029 n12898774 n12606438 n12067817 n11904109 n12295796 n11816649 n11943407 n11811706 n12361754 n12252168 n11905749 n12050959 n12062468 n12078172 n11958499 n12913144 n12075151 n12047884 n12048056 n12093600 n11807979 n12035631 n11809754 n11840764 n11917407 n11939491 n11908549 n11934807 n12070016 n12045860 n12073217 n12057447 n12294542 n11981192 n11980318 n12068615 n12475242 n11990167 n12296735 n12056217 n11724660 n11936113 n11923637 n11915658 n11901759 n11941924 n12059625 n12360684 n12066821 n11935027 n11934239 n12043444 n11806219 n11809594 n12950126 n12909759 n12297846 n12051103 n12048399 n11937102 n12049562 n11943660 n12086192 n11816336 n11958888 n12084555 n11931918 n12296432 n11726145 n12877838 n11727738
161,frying-pan,n03271765 n03400231 n04275283
162,alarm clock,n02694662
163,pigeon,n01814370 n01814921 n01812187 n01814755 n01815036 n01814549 n01812337 n01813948 n01815270 n01812866 n01813658 n01814217 n01813532 n01813088 n01814620 n01813385 n01811909 n01812662
164,factory,n03720665 n03887512 n02750169 n04103094 n04417361 n03585682 n03697007 n04370600 n04032603 n03387653 n04311595 n02950018 n03012897 n02741367 n02761696 n03316406 n02810782 n02825872 n04300358 n03115663
165,Key,n03613294 n03561047 n03645290 n04226826 n03896984
167,eagle,n01613807 n01615703 n01614343 n01615121 n01615303 n01613294 n01614925 n01614038 n01615458 n01614556
168,Stone,n09381242 n09478210 n09218494 n09481120 n09416076 n09223487 n09460046 n09400584 n09467696 n09325824
170,dictionary,n06419354
171,computer monitor,n03085219
172,ipod,n03584254 n03584400
173,wine-bottle,n03709363 n03595409 n03813946 n02876457 n04591713
174,grapes,n07760153 n07760395 n07759816 n07760501 n07758950 n07759194 n07759424 n07759324 n07760673 n07760070 n07759691 n07760755 n07759576 n07758680 n07760297
176,card,n04033425
177,Chain,n03886641 n04020087 n03374838 n02835412 n02709637 n04440963 n02999410 n03011018
178,skateboard,n04225987
179,rollerblades,n04102037 n04102162
180,place,n03527675 n02859955 n04378651
181,castle,n02980441
182,ashtray,n02747802
183,parrot,n01819734 n01818832 n01819465 n01822300 n01820801 n01819115 n01821554 n01817346 n01820546 n01819313 n01816887 n01817953 n01818515 n01821076 n01818299 n01820052 n01820348 n01821869 n01817263 n01821203
184,cheese,n07850329 n07852302 n07853345 n07852712 n07852045 n07852532 n07851298 n07854614 n07853125 n07853232 n07853445 n07854813 n07854184 n07851926 n07851554 n07853762 n07852614 n07852452 n07853852 n07853946 n07855188 n07852229 n07852376 n07854348 n07851443 n07854455 n07854982 n07852833 n07854266 n07855317 n07851767 n07852919 n07851641 n07853560 n07855105 n07854707 n07853648 n07854066
186,scissors,n04148054 n03044934 n03045074 n04186848 n04016684 n04163530 n04424692 n04253304 n04250473
187,ring,n13007034 n13875392
188,sheep,n02413131 n02414043 n02413484 n02413824 n02413593 n02413917 n02413050 n02414209 n02411999 n02414290 n02412080 n02411705 n02414442 n02413717 n02412210
189,city,n08524735
190,horse,n02388453 n02388735 n02388276 n02380583 n02381119 n02375862 n02383231 n02381364 n02380052 n02381004 n02379908 n02380745 n02382750 n02385676 n02377388 n02386310 n02385098 n02380335 n02375438 n02382437 n02374451 n02379430 n02385898 n02378625 n02387452 n02386141 n02375302 n02387722 n02378870 n02379081 n02379329 n02387983 n02388143 n02387093 n02380464 n02386496 n02378755 n02382338 n02385580 n02389026 n02388917 n02382204 n02376918 n02378299 n02378969 n02379743 n02377480 n02382132 n02386968 n02387887 n02386746 n02385214 n02386853 n02382948 n02377603 n02385776 n02381831 n02378149 n02386224 n02377181 n02384741 n02389128 n02388588 n02386014 n02387346 n02381460 n02382850 n02375757 n02381261 n02388832 n02381609 n02377703 n02377291 n02389261 n02382635 n02387254 n02378541 n02380875 n02382039 n02379183 n02379630 n02378415
191,monkey,n02486657 n02487547 n02485688 n02493509 n02491107 n02487847 n02493224 n02489166 n02489589 n02486410 n02494079 n02487079 n02485988 n02492948 n02492660 n02484322 n02484975 n02488291 n02490597 n02493793 n02485371 n02490219 n02488003 n02486261 n02488894 n02491329 n02490811 n02487675 n02485225 n02488702 n02484473 n02485536 n02492035 n02492356 n02491474 n02488415 n02494383 n02487347 n02486908
192,streetlight,n04335886
193,banana,n07753592
195,gear,n03956331 n03296217 n02833793 n04039209 n03194297 n04355821 n04605057 n03430551 n04604806 n04290507 n03943115
196,tool,n03044934 n02893941 n03190458 n04024137 n02911332 n02786837 n03349367 n03498866 n04057047 n04570416 n02668393 n03127024 n04453390 n04016576 n04307986 n03352366 n02966545 n02922461 n02864987 n04156591 n03849275 n04331443 n04056073 n03484809 n02994573 n04424692 n04059399 n02764044 n04493259 n03250588 n03878828 n03136254 n03154446 n03000684 n04383301 n03973628 n03682380 n04237287 n03878418 n04140777 n02680754 n03890093 n04158250 n04156297 n03192907 n03104019 n02856362 n04479405 n04140853 n04140064 n03384167 n04163530 n03477773 n04057215 n02875436 n04393301 n03848168 n03997484 n03108624 n03067212 n02927053 n03911658 n03524574 n04186848 n02830157 n04177654 n03455355 n03598783 n03034663 n03077442 n03029066 n02951585 n02969527 n04089976 n04054670 n04134170 n04346511 n03488603 n04208210 n03923692 n04269944 n04451818 n02783035 n03977266 n02854532 n03043173 n03474779 n02956795 n03075500 n04387706 n04240867 n03361683 n03588951 n04441093 n03731019 n04269502 n04250473 n03677766 n03001282 n03624400 n02815478 n03594523 n02921292 n03235327 n03109150 n02877962 n03045074 n04142434 n04374521 n04114719 n03239726 n04121728 n03722646 n02898269 n03782794 n04435552 n03030557 n04155457 n04597400 n04094608 n03291413 n03130866 n02861658 n02861509 n04332074 n03523398 n03780047 n03957991 n03848348 n04373089 n03500457 n03481172 n03774327 n03995372 n04088343 n03950359 n02916065 n02682311 n03126580 n04184600 n03658185 n04150980 n03336839 n03967562 n03488188 n04266486 n04144651 n02697876 n03816530 n04291242 n02770585 n04213353 n04094438 n03684224 n04154854 n02928049 n02866386 n04312020 n04148054 n03415626 n03729647 n03675076 n03417970 n04300509 n04515444 n04319774 n04098399 n03034516 n04114301 n04051439 n04489817 n02794368 n03975657 n03951800 n04606574 n04028221 n03886940 n04283585 n03272125 n03304323 n02894847 n03929443 n03929202 n03939062 n03226090 n03418158 n04016479 n04023249 n03041632 n03879456 n03498962 n03218446 n02668613 n04114996 n03955296 n03954731 n03989665 n04457910 n03623556 n03001540 n04279987 n03364599 n03977430 n03108455 n04016684 n03511333 n04095938 n03240140 n04127521 n04287986 n02888429 n03533845 n03549473 n03346289 n02689434 n03966751 n03818001 n03970156 n02967170 n03438780 n03649909 n03376938 n02919308 n03696746 n03966976 n03247495 n02811468 n03971321 n03715386 n04331765 n02898173 n04493109 n03430313 n03361109 n03919430 n03919289 n02758490 n03075097 n02923915 n02763714 n04393913 n04154565 n03947466 n04016240 n02910701 n04050066 n02697675 n03382969 n03004531 n04299963 n03489162 n04595611 n02844307 n03805280 n03080904 n03176238 n03614887 n04258859 n02848216 n03038480 n02904109 n03004620 n03136504 n02838958 n03264906 n02966942 n04253304 n03946076 n03154073 n03229115 n03449309 n03214450 n04364827 n02888898 n04155177 n03138217 n02903006 n03056493 n03418242 n03481521 n03889397 n03454211 n04023021 n03590932 n02973904 n03117642 n02880842 n02976123 n02976249 n03995856 n03556679 n02810139 n03158796 n02917607 n03020692 n04266849 n04247630 n04255346 n03292085 n04185804 n02887832 n03985441 n02833403 n04380346 n04503593 n03996145 n04380916 n03487774 n03265032 n03941684 n03601638 n03418402 n02886434 n03731695 n04594828 n03558007
197,hotel,n03541696 n03542333 n02961035 n04080705 n04097085 n03989898 n03561573 n08640531 n08652376 n03788498 n04095109 n04229737 n03790755 n08560295
198,ice-cream-cone,n07614730
199,rifle,n03416775 n04585980 n02961451 n04250224 n03231819 n04090263
200,stairs,n03591116 n04142327
201,television,n04405907
202,tree,n11693981 n12787364 n12321077 n11903333 n12726902 n13111881 n13111340 n12345280 n11758483 n12693352 n12305089 n12194147 n12281241 n12261359 n11710393 n11696450 n12401684 n12318782 n12708941 n12364604 n12635532 n12190869 n12714949 n12188635 n12716594 n12279772 n12373739 n13107807 n11749112 n11664418 n12568649 n12726357 n12731401 n12725940 n12667582 n12263588 n11628793 n12650229 n12222900 n12947313 n12585137 n12582231 n12640839 n12267411 n12658603 n12407715 n12522188 n12625003 n12400924 n12731029 n12304899 n11710658 n12155009 n12302248 n13107891 n12697152 n11620673 n12333530 n12635359 n12333771 n11649150 n12327846 n12664469 n12648196 n12332030 n11661372 n12493208 n11625632 n12366870 n12815668 n12643688 n12727301 n11706761 n12643313 n11620389 n12741586 n12200143 n12188289 n12274630 n12764978 n11616662 n12281974 n11710827 n12323665 n12336586 n12757458 n12266984 n11650160 n12306089 n12264512 n12634211 n12330891 n11619227 n12646605 n12732252 n12807409 n11632376 n12286988 n11652578 n12646072 n12758099 n11762927 n11756092 n11613219 n11763874 n11621547 n12289585 n11757190 n11758122 n11653904 n12280060 n13108323 n12754311 n12282933 n11655974 n11646517 n12583681 n11625003 n12709901 n11613867 n12317296 n12195391 n12736603 n12192877 n12407222 n12265394 n12306270 n12704513 n12757930 n11770256 n11650430 n12288823 n12283542 n12321669 n12273344 n11759404 n12704343 n12590499 n12406488 n12322699 n12277800 n11650759 n11622591 n12303462 n12663023 n12649539 n11745817 n11614250 n12304703 n12261571 n11632929 n12586499 n12722071 n12591351 n12596849 n11756329 n12269652 n12591017 n12399384 n12321873 n12270027 n12638964 n12633638 n11695974 n11694664 n12758176 n11622771 n12582846 n12189779 n12287836 n11618861 n12670758 n12586298 n12204032 n12316444 n12628986 n11711971 n12494794 n12647231 n11616486 n12333053 n12725738 n13108131 n11707827 n12589142 n11619687 n12707781 n12754468 n11709674 n12716400 n12718074 n12765115 n12265600 n12275317 n12670962 n11662585 n12814643 n12562785 n12399899 n12948053 n12270278 n12663804 n12758325 n12692160 n12402051 n11621727 n12513933 n12266217 n12583126 n12320010 n12225222 n12717072 n12318965 n11706942 n12596345 n11609475 n12527738 n11654984 n11634736 n11639084 n12320627 n12647893 n12634986 n12771390 n12406304 n11610823 n11650307 n12695975 n11612349 n12753007 n11611356 n12276110 n11626010 n11615607 n12695144 n12658715 n11704791 n12639910 n11660300 n12276314 n11636204 n12264786 n12650915 n12271933 n12732756 n12650038 n12551457 n12758399 n12275888 n12407545 n12729950 n12273939 n12733647 n11630489 n11623815 n12283147 n11711289 n12730776 n12638218 n12729729 n11613459 n12696492 n12496949 n12711398 n12635151 n11631619 n12643877 n11635433 n11609862 n12528974 n12731835 n13109733 n12741792 n12409231 n11621281 n12202936 n12594989 n11617878 n12203529 n12334891 n12698598 n12180885 n12190410 n12523850 n11663263 n11739978 n12724942 n12523141 n12528768 n12333961 n12528109 n12774641 n12710577 n12744850 n12407396 n11799331 n12744142 n12640435 n12492900 n12582665 n12287195 n12378963 n12531727 n12286068 n12340581 n11662128 n12286197 n12753573 n12263410 n12768369 n12765846 n11661909 n12643473 n12276477 n11757017 n11652039 n11617272 n12221522 n12727101 n12642964 n12565912 n11644226 n12642600 n11694866 n12636224 n12766043 n12337800 n12192132 n12370174 n12529220 n12591702 n12693244 n12713866 n12711817 n12509109 n12408466 n12718483 n12667406 n13108662 n12512674 n11647306 n11655592 n11654438 n12733428 n12728322 n12768809 n12277150 n12338796 n12658118 n12570703 n11658544 n12635744 n12285512 n12275131 n12728508 n11764478 n12365900 n12268246 n12806732 n12496427 n12225563 n12266528 n12573911 n12321395 n12740967 n12510343 n12634429 n11621950 n12337391 n12927758 n12267133 n12401335 n12641180 n11759224 n12644902 n12584191 n12640081 n11655152 n12300840 n11750508 n12225349 n12758250 n12651611 n12189987 n12279293 n12759668 n12553742 n12700357 n11610602 n12196694 n12587487 n12495895 n12732491 n11659248 n13108481 n12732009 n12662772 n12597466 n12718995 n12778398 n12331066 n12263204 n07754894 n12407079 n12639584 n11705573 n12734070 n12522894 n12745564 n12658308 n12283790 n12335664 n12563045 n12272239 n12732966 n12589687 n11612923 n11648039 n12199790 n13112035 n13112201 n12196129 n12203699 n12814960 n11613692 n12758014 n12699031 n12742290 n12650556 n12710415 n11648268 n11639306 n12570394 n12596148 n12711182 n12754174 n11635830 n11622368 n12759273 n11762018 n11625223 n12285900 n11610215 n11695285 n11746600 n12301180 n11710987 n11758276 n12261808 n11712282 n12331788 n13142907 n12403994 n11616852 n12646397 n12761905 n12269241 n12195734 n11658331 n12579822 n12732605 n12197359 n12406902 n12814857 n12570972 n12221801 n12491017 n12643113 n12927494 n12324558 n12726670 n12754981 n12755225 n12204175 n12403513 n11647703 n11757653 n12808007 n12336973 n11626585 n11652753 n12401893 n12755876 n12365158 n12338034 n12285705 n12589841 n12399534 n11626826 n12648693 n11710136 n12289310 n12646197 n12322501 n12203896 n12698027 n11708658 n12309630 n12365285 n12771890 n11621029 n12320806 n11633284 n12283395 n12305819 n12709103 n12305293 n12595964 n12775717 n12330587 n12274358 n11652217 n12761702 n12201580 n12318378 n12597134 n12733870 n12635955 n12335483 n12320414 n11645914 n11632619 n12596709 n12692024 n12753245 n12727729 n12818346 n12588320 n12336333 n11757851 n12340755 n12775070 n11659627 n12726528 n12775393 n12669803 n12406715 n12282235 n12319204 n11610047 n12754648 n11631985 n12649065 n12506341 n11761836 n12495670 n12713063 n12755387 n11649878 n12338655 n12409470 n11624192 n11626152 n12633994 n12267265 n12366675 n12752205 n12492460 n12408280 n12274863 n11695599 n11650558 n12405714 n12284262 n11611561 n11645163 n11653126 n11646955 n12710693 n12305475 n12692521 n12370549 n11662937 n12735160 n12271643 n12774299 n13240362 n11611087 n12506181 n12278371 n12729521 n12266644 n13108545 n11597657 n12262018 n12274151 n11612575 n12324388 n12334153 n12220496 n12336092 n12336224 n11624531 n11711537 n12595699 n12330239 n12715195 n12513613 n12663359 n12263038 n11628087 n12771597 n12771085 n12647560 n12648888 n12377198 n11631405 n11623967 n12926039 n12729315 n12565102 n12770892 n12729023 n12588780 n12659064 n12769065 n12331263 n12593122 n12339526 n12285369 n12373100 n12734215 n12641931 n11611758 n12491435 n12756457 n11644462 n12593994 n12594324 n12272735 n12322099 n12733218 n12589458 n12647376 n11749603 n11646694 n12700088 n12645174 n12925583 n12549799 n12200905 n12516165 n12754003 n12807251 n12554029 n11694300 n12664187 n11763625 n12523475 n12743823 n12639736 n12727518 n11756870 n13111174 n12569851 n12697514 n12324906 n12773651 n11702713 n12335800 n12769318 n12196954 n12634734 n11639445 n12338454 n11610437 n12755559 n12396091 n12768933 n11625391 n12708293 n12301613 n12201331 n11615967 n12409840 n11614420 n12269406 n11711764 n11696935 n12776558 n12223160 n12915568 n12277334 n12304286 n12916179 n12598027 n12629666 n12590600 n12714755 n11646344 n12195533 n12222090 n11618290 n12272883 n12638753 n12488709 n12730370 n11644046 n12194613 n12260799 n12277578 n12642200 n12285195 n12528549 n12728164 n11761202 n13108841 n11629047 n12221191 n12305986 n11609684 n12948495 n12563702 n12761284 n12597798 n12488454 n12551173 n12640607 n12278650 n12947756 n12762405 n11646167 n11628456 n11657585 n11758799 n11648776 n12364940 n11759609 n12641007 n12267534 n12363301 n12379531 n12409651 n12330469 n13144084 n12219668 n12753762 n13107694 n12337617 n12592544 n12270460 n12275489 n12751172 n12728864 n12498055 n11619455 n12403276 n12408873 n11617090 n11631854 n12327528 n12270946 n11772879 n12281788 n12745386 n11615387 n12721477 n12316572 n12196336 n12301766 n12758555 n12302071 n11695085 n12492106 n12710917 n12714254 n12272432 n11649359 n11653570 n11643835 n12501202 n12408717 n11614713 n11627512 n12639376 n12691661 n12242409 n12285049 n12279458 n12712320 n12583401 n11626409 n12646740 n12650379 n12649866 n12154773 n12402840 n12584715 n11611233 n12289433 n12639168 n12946849 n12337922 n12332218 n12408077 n11622184 n12399132 n12586989 n12403075 n11704093 n12338979 n12566331 n12276872 n12329473 n12336727 n11709205 n11709045 n12771192 n12585629 n11652376 n12489676 n12196527 n11627714 n12770529 n12713358 n13110915 n12275675 n12769219 n12645530 n12562577 n12568186 n11625804 n12728656 n11631159 n12278865 n11640132 n11629354 n12638556 n11618525 n12710295 n12201938 n12377494 n11694469 n12304115 n11662371 n12338146 n12399656 n11761650 n12305654 n12273515 n12340383 n12730544 n12641413 n12692714 n12522678 n12758471 n12916511 n11608250 n12948251 n12263987 n12807624 n12729164 n12271451 n12271187 n12299640 n12319414 n12698435 n12702124 n12651821 n12524188 n12559518 n12757816 n12495146 n12304420 n11658709 n11623105 n11630017 n12715914 n12337131 n11647868 n11644872 n12583855 n12584365 n12491826 n11705171 n12284821 n11615259 n11615026 n12580012 n11635152 n12337246 n12528382 n12587132 n12691428 n12273114 n12743352 n12282737 n12492682 n11612018 n12334293 n11714382 n12757303 n11616260 n12648045 n12400720 n11759853 n12402596 n12288005 n13103877 n12744387 n11619845 n11632167 n11618079 n12224978 n11756669 n12365462 n12690653 n11654293 n12221368 n12743976 n12947544 n12276628 n12286826 n12270741 n12725521 n11704620 n11614039 n12592058 n12642435 n12404729 n12402348 n12287642 n11627168 n12345899 n12708654 n12741222 n11707229 n12282527 n12586725 n12713521 n12755727 n12338258 n11656123 n12263738 n12649317 n12757668 n12189429 n12717644 n12818601 n12699922 n12331655 n12569037 n12366053 n12915811 n12325234 n12198286 n12765402 n11708857 n12658846 n12478768 n12775919 n11620016 n12262553 n12717224 n12640284 n12711596 n12709688 n11645590 n12730143 n11627908 n12335937 n12664005 n12662074 n11615812 n11703669 n12185254 n12262185 n12711984 n12727960 n12266796 n13104059 n12278107 n12590232 n12394328 n12199982 n12726159 n12663254 n12273768 n12400489 n12699301 n12698774 n11617631 n12754781 n12191240 n11841247 n12773917 n11762433 n12947895 n12587803 n12807773 n12709349 n12407890 n12490490
